Title,Price,nom immobilier,nom quartier,espace en m²,nombre de pièces,nb de chambres,nb salle de bain,Vue_sur_mer,Vue_sur_les_montagnes,Etat,Cheminee,Standing,Chauffage_central,Meuble,Piscine,Cuisine_equipee,Climatisation,Terrasse,Jardin,Annees,Garage
La Soukra à La Soukra,540000 TND,Immobilier La Soukra,La Soukra,160 						m² ,, 3 Chambres , 160 						m² ,,,,,,,,,Yes,,,,,Yes
Bouhssina à Sousse Ville,550000 TND,Immobilier Sousse Ville,Bouhssina,156 						m² , 3 Pièces , 3 Chambres , 1 Salle de bain ,,,Nouveau,,,,,,Yes,,Yes,,,
,,Immobilier neuf Tunisie,Voir l'annonce,Haut standing ,, En cours de construction , Livraison: 						septembre 2026,,,,,,,,,,,,,,
Cité El Wafa à Nabeul,230000 TND,Immobilier Nabeul,Cité El Wafa,57 						m² , 2 Pièces , 1 Chambre , 1 Salle de bain ,,,Bon état,,,,,,Yes,,,,,
Jaafar à Raoued,Prix à consulter,Immobilier Raoued,Jaafar,72 						m² , 4 Pièces , 2 Chambres , 1 Salle de bain ,,,Bon état,,,,,,,,,,5-10 ans,
Les Berges Du Lac 2 à La Marsa,800000 TND,Immobilier La Marsa,Les Berges Du Lac 2,480 						m² , 2 Pièces , 3 Chambres , 2 Salles de bains ,,,Nouveau,,,,,,,,,,,
Nouvelle Medina à Nouvelle Medina,Prix à consulter,Immobilier Nouvelle Medina,Nouvelle Medina,68 						m² ,, 1 Pièce , 1 Chambre ,,,Nouveau,,,Yes,Yes,,,Yes,,,,Yes
Rejiche,179000 TND,Immobilier Rejiche,,88 						m² , 2 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,,Yes,,,,Yes,Yes,,Moins d'un an,
Hammamet à Hammamet,280000 TND,Immobilier Hammamet,Hammamet,96 						m² , 2 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,,,,,,,,,,
Hammamet à Hammamet,195000 TND,Immobilier Hammamet,Hammamet,51 						m² ,, 1 Pièce , 1 Chambre ,,,Nouveau,,,,,,,,,,,
Khezama Est,220000 TND,Immobilier Khezama Est,,113 						m² , 7 Pièces , 3 Chambres , 2 Salles de bains ,,,Bon état,,,Yes,,,,,Yes,,,
Hammamet à Hammamet,490000 TND,Immobilier Hammamet,Hammamet,130 						m² , 2 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,,,,Yes,,,,,,Yes
Les Jardins de Carthage à Le Kram,780000 TND,Immobilier Le Kram,Les Jardins de Carthage,250 						m² , 4 Pièces , 3 Chambres , 3 Salles de bains ,,,Bon état,,,Yes,,,Yes,Yes,Yes,Yes,5-10 ans,Yes
Cité des Juges à La Marsa,Prix à consulter,Immobilier La Marsa,Cité des Juges,150 						m² , 3 Pièces , 3 Chambres , 2 Salles de bains ,,,Nouveau,,,,,,,Yes,Yes,Yes,1-5 ans,Yes
Hergla,Prix à consulter,Immobilier Hergla,,3 Pièces ,, 1 Chambre , 1 Salle de bain ,Yes,,Bon état,,,,,Yes,Yes,Yes,Yes,Yes,5-10 ans,Yes
Village Mediterranee à Rades,170000 TND,Immobilier Rades,Village Mediterranee,120 						m² , 4 Pièces , 3 Chambres , 1 Salle de bain ,Yes,,Bon état,,,,Yes,,Yes,Yes,Yes,Yes,10-20 ans,Yes
Tunis,215000 TND,Immobilier Tunis,,115 						m² ,, 115 						m²,,,,,,,,,,,,Yes,,,
Khaznadar à Le Bardo,230000 TND,Immobilier Le Bardo,Khaznadar,140 						m² , 6 Pièces , 4 Chambres , 2 Salles de bains ,,,Bon état,,,,,,Yes,Yes,Yes,Yes,20-30 ans,
La Soukra à La Soukra,335000 TND,Immobilier La Soukra,La Soukra,126 						m² ,, 3 Chambres , 126 						m² ,,,,,,,,,Yes,,,,,Yes
Les Jardins de Carthage à Le Kram,Prix à consulter,Immobilier Le Kram,Les Jardins de Carthage,89 						m² , 3 Pièces , 2 Chambres , 1 Salle de bain ,,,Nouveau,,,,,,Yes,,Yes,,,Yes
